month,day,full_time,hour,minute,altitude,azimuth,irradmean,skycover,class,doy
1,3,16.800000,16,48,0.090,57.528,0.0,0.0,Sunset,3
1,4,7.966667,7,57,0.054,-57.717,0.0,0.0,Sunrise,4
1,4,16.816667,16,49,0.076,57.692,0.0,0.0,Sunset,4
1,5,7.966667,7,57,0.068,-57.859,0.0,0.0,Sunrise,5
1,5,16.833333,16,50,0.066,57.862,0.0,0.0,Sunset,5
1,6,7.966667,7,57,0.087,-58.004,0.0,0.0,Sunrise,6
1,6,16.850000,16,51,0.059,58.037,0.0,0.0,Sunset,6
1,7,7.966667,7,57,0.113,-58.153,0.0,0.0,Sunrise,7
1,7,16.866667,16,52,0.056,58.217,0.0,0.0,Sunset,7
1,8,7.966667,7,57,0.145,-58.305,0.0,0.0,Sunrise,8
1,8,16.883333,16,53,0.057,58.404,0.0,0.0,Sunset,8
1,9,7.950000,7,56,0.028,-58.633,0.0,0.0,Sunrise,9
1,9,16.900000,16,54,0.061,58.596,0.0,0.0,Sunset,9
1,10,7.950000,7,56,0.070,-58.791,0.0,0.0,Sunrise,10
1,10,16.916667,16,55,0.068,58.794,0.0,0.0,Sunset,10
1,11,7.950000,7,56,0.119,-58.951,0.0,0.0,Sunrise,11
1,11,16.933333,16,56,0.078,58.997,0.0,0.0,Sunset,11
1,12,7.933333,7,55,0.019,-59.288,0.0,0.0,Sunrise,12
1,12,16.950000,16,57,0.092,59.207,0.0,0.0,Sunset,12
1,13,7.933333,7,55,0.079,-59.455,0.0,0.0,Sunrise,13
1,13,16.966667,16,58,0.108,59.422,0.0,0.0,Sunset,13
1,14,7.933333,7,55,0.145,-59.624,0.0,0.0,Sunrise,14
1,14,16.983333,16,59,0.128,59.644,0.0,0.0,Sunset,14
1,15,7.916667,7,54,0.061,-59.969,0.0,0.0,Sunrise,15
1,15,17.000000,17,0,0.150,59.871,0.0,0.0,Sunset,15
1,16,7.916667,7,54,0.139,-60.144,0.0,0.0,Sunrise,16
1,16,17.033333,17,2,0.018,60.277,0.0,0.0,Sunset,16
1,17,7.900000,7,53,0.066,-60.494,0.0,0.0,Sunrise,17
1,17,17.050000,17,3,0.045,60.516,0.0,0.0,Sunset,17
1,18,7.900000,7,53,0.155,-60.673,0.0,0.0,Sunrise,18
1,18,17.066667,17,4,0.075,60.762,0.0,0.0,Sunset,18
1,19,7.883333,7,52,0.092,-61.028,0.0,0.0,Sunrise,19
1,19,17.083333,17,5,0.107,61.013,0.0,0.0,Sunset,19
1,20,7.866667,7,51,0.035,-61.386,0.0,0.0,Sunrise,20
1,20,17.100000,17,6,0.141,61.270,0.0,0.0,Sunset,20
1,21,7.866667,7,51,0.142,-61.572,0.0,0.0,Sunrise,21
1,21,17.133333,17,8,0.018,61.707,0.0,0.0,Sunset,21
1,22,7.850000,7,50,0.095,-61.934,0.0,0.0,Sunrise,22
1,22,17.150000,17,9,0.056,61.976,0.0,0.0,Sunset,22
1,23,7.833333,7,49,0.053,-62.298,0.0,0.0,Sunrise,23
1,23,17.166667,17,10,0.096,62.252,0.0,0.0,Sunset,23
1,24,7.816667,7,48,0.017,-62.665,0.0,0.0,Sunrise,24
1,24,17.183333,17,11,0.138,62.534,0.0,0.0,Sunset,24
1,25,7.816667,7,48,0.147,-62.860,0.0,0.0,Sunrise,25
1,25,17.216667,17,13,0.021,62.995,0.0,0.0,Sunset,25
1,26,7.800000,7,47,0.121,-63.231,0.0,0.0,Sunrise,26
1,26,17.233333,17,14,0.066,63.289,0.0,0.0,Sunset,26
1,27,7.783333,7,46,0.100,-63.603,0.0,0.0,Sunrise,27
1,27,17.250000,17,15,0.113,63.589,0.0,0.0,Sunset,27
1,28,7.766667,7,45,0.084,-63.977,0.0,0.0,Sunrise,28
1,28,17.266667,17,16,0.161,63.895,0.0,0.0,Sunset,28
1,29,7.750000,7,44,0.073,-64.353,0.0,0.0,Sunrise,29
1,29,17.300000,17,18,0.047,64.381,0.0,0.0,Sunset,29
1,30,7.733333,7,43,0.067,-64.731,0.0,0.0,Sunrise,30
1,30,17.316667,17,19,0.098,64.699,0.0,0.0,Sunset,30
1,31,7.716667,7,42,0.067,-65.110,0.0,0.0,Sunrise,31
1,31,17.333333,17,20,0.149,65.023,0.0,0.0,Sunset,31
2,1,7.700000,7,41,0.071,-65.492,0.0,0.0,Sunrise,32
2,1,17.366667,17,22,0.037,65.527,0.0,0.0,Sunset,32
2,2,7.683333,7,40,0.080,-65.874,0.0,0.0,Sunrise,33
2,2,17.383333,17,23,0.091,65.863,0.0,0.0,Sunset,33
2,3,7.666667,7,39,0.094,-66.259,0.0,0.0,Sunrise,34
2,3,17.400000,17,24,0.145,66.205,0.0,0.0,Sunset,34
2,4,7.650000,7,38,0.112,-66.645,0.0,0.0,Sunrise,35
2,4,17.433333,17,26,0.034,66.726,0.0,0.0,Sunset,35
2,5,7.633333,7,37,0.136,-67.032,0.0,0.0,Sunrise,36
2,5,17.450000,17,27,0.089,67.080,0.0,0.0,Sunset,36
2,6,7.616667,7,36,0.164,-67.421,0.0,0.0,Sunrise,37
2,6,17.466667,17,28,0.145,67.440,0.0,0.0,Sunset,37
2,7,7.583333,7,34,0.029,-67.984,0.0,0.0,Sunrise,38
2,7,17.500000,17,30,0.034,67.979,0.0,0.0,Sunset,38
2,8,7.566667,7,33,0.066,-68.376,0.0,0.0,Sunrise,39
2,8,17.516667,17,31,0.091,68.350,0.0,0.0,Sunset,39
2,9,7.550000,7,32,0.108,-68.769,0.0,0.0,Sunrise,40
2,9,17.533333,17,32,0.148,68.727,0.0,0.0,Sunset,40
2,10,7.533333,7,31,0.154,-69.163,0.0,0.0,Sunrise,41
2,10,17.566667,17,34,0.037,69.282,0.0,0.0,Sunset,41
2,11,7.500000,7,29,0.035,-69.731,0.0,0.0,Sunrise,42
2,11,17.583333,17,35,0.094,69.670,0.0,0.0,Sunset,42
2,12,7.483333,7,28,0.090,-70.127,0.0,0.0,Sunrise,43
2,12,17.600000,17,36,0.152,70.064,0.0,0.0,Sunset,43
2,13,7.466667,7,27,0.149,-70.524,0.0,0.0,Sunrise,44
2,13,17.633333,17,38,0.039,70.636,0.0,0.0,Sunset,44
2,14,7.433333,7,25,0.042,-71.096,0.0,0.0,Sunrise,45
2,14,17.650000,17,39,0.097,71.040,0.0,0.0,Sunset,45
2,15,7.416667,7,24,0.109,-71.495,0.0,0.0,Sunrise,46
2,15,17.666667,17,40,0.155,71.449,0.0,0.0,Sunset,46
2,16,7.383333,7,22,0.008,-72.068,0.0,0.0,Sunrise,47
2,16,17.700000,17,42,0.040,72.036,0.0,0.0,Sunset,47
2,17,7.366667,7,21,0.084,-72.470,0.0,0.0,Sunrise,48
2,17,17.716667,17,43,0.097,72.456,0.0,0.0,Sunset,48
2,18,7.350000,7,20,0.163,-72.872,0.0,0.0,Sunrise,49
2,18,17.733333,17,44,0.154,72.880,0.0,0.0,Sunset,49
2,19,7.316667,7,18,0.073,-73.448,0.0,0.0,Sunrise,50
2,19,17.766667,17,46,0.038,73.482,0.0,0.0,Sunset,50
2,20,7.300000,7,17,0.159,-73.851,0.0,0.0,Sunrise,51
